case/step,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,198.3125,208.1875,9.875,8,,,,,,,,,,,,
size 3,178.375,208.25,29.875,10,,,,,,,,,,,,
size 5,178.47265625,178.47265625,0.0,11,,,,,,,,,,,,
size 7,178.44140625,178.44140625,0.0,8,,,,,,,,,,,,
size 9,178.44140625,178.44140625,0.0,12,,,,,,,,,,,,
size 1,178.48046875,178.48046875,0.0,8,,,,,,,,,,,,
size 3,178.55078125,178.55078125,0.0,9,,,,,,,,,,,,
size 5,168.66015625,168.66015625,0.0,8,,,,,,,,,,,,
size 7,168.71484375,178.54296875,9.828125,12,,,,,,,,,,,,
size 9,168.7578125,168.7578125,0.0,9,,,,,,,,,,,,
size 1,178.65234375,178.65234375,0.0,7,,,,,,,,,,,,
size 3,178.7265625,178.7265625,0.0,10,,,,,,,,,,,,
size 5,178.73046875,188.8203125,10.08984375,9,,,,,,,,,,,,
size 7,169.046875,198.921875,29.875,11,,,,,,,,,,,,
size 9,209.1484375,249.0390625,39.890625,11,,,,,,,,,,,,
size 1,169.2421875,169.2421875,0.0,9,,,,,,,,,,,,
size 3,169.2421875,169.2421875,0.0,10,,,,,,,,,,,,
size 5,169.2421875,169.2421875,0.0,9,,,,,,,,,,,,
size 7,169.2421875,169.2421875,0.0,10,,,,,,,,,,,,
size 9,169.30078125,189.16015625,19.859375,11,,,,,,,,,,,,
size 1,199.38671875,209.140625,9.75390625,9,,,,,,,,,,,,
size 3,179.46875,209.34375,29.875,11,,,,,,,,,,,,
size 5,219.3828125,219.3828125,0.0,9,,,,,,,,,,,,
size 7,219.3828125,219.3828125,0.0,12,,,,,,,,,,,,
size 9,219.51171875,219.51171875,0.0,10,,,,,,,,,,,,
size 1,219.58984375,219.58984375,0.0,9,,,,,,,,,,,,
size 3,219.671875,219.671875,0.0,8,,,,,,,,,,,,
size 5,229.84375,229.84375,0.0,9,,,,,,,,,,,,
size 7,200.0390625,200.0390625,0.0,10,,,,,,,,,,,,
size 9,200.0390625,200.0390625,0.0,10,,,,,,,,,,,,
size 1,200.0390625,200.0390625,0.0,9,,,,,,,,,,,,
size 3,200.0390625,200.0390625,0.0,9,,,,,,,,,,,,
size 5,200.07421875,200.07421875,0.0,8,,,,,,,,,,,,
size 7,200.16796875,200.16796875,0.0,9,,,,,,,,,,,,
size 9,180.25390625,200.25390625,20.0,11,,,,,,,,,,,,
size 1,180.25390625,180.25390625,0.0,9,,,,,,,,,,,,
size 3,180.25390625,180.25390625,0.0,10,,,,,,,,,,,,
size 5,180.3203125,180.3203125,0.0,10,,,,,,,,,,,,
size 7,180.37890625,180.37890625,0.0,10,,,,,,,,,,,,
size 9,180.296875,190.26953125,9.97265625,10,,,,,,,,,,,,
size 1,170.57421875,190.44921875,19.875,7,,,,,,,,,,,,
size 3,200.51953125,200.51953125,0.0,7,,,,,,,,,,,,
size 5,200.51953125,200.51953125,0.0,8,,,,,,,,,,,,
size 7,200.51953125,200.51953125,0.0,9,,,,,,,,,,,,
size 9,200.625,200.625,0.0,9,,,,,,,,,,,,
size 1,200.66796875,210.7109375,10.04296875,9,,,,,,,,,,,,
size 3,200.921875,200.921875,0.0,12,,,,,,,,,,,,
size 5,220.8984375,220.8984375,0.0,9,,,,,,,,,,,,
size 7,171.0390625,171.0390625,0.0,11,,,,,,,,,,,,
size 9,171.0390625,171.0390625,0.0,11,,,,,,,,,,,,
size 1,180.8125,180.92578125,0.11328125,9,,,,,,,,,,,,
size 3,181.015625,181.015625,0.0,10,,,,,,,,,,,,
size 5,171.24609375,191.24609375,20.0,11,,,,,,,,,,,,
size 7,181.3125,181.33203125,0.01953125,10,,,,,,,,,,,,
size 9,171.390625,171.390625,0.0,9,,,,,,,,,,,,
size 1,181.265625,181.265625,0.0,8,,,,,,,,,,,,
size 3,181.265625,181.265625,0.0,7,,,,,,,,,,,,
size 5,181.2109375,191.3125,10.1015625,10,,,,,,,,,,,,
size 7,211.58203125,231.4609375,19.87890625,9,,,,,,,,,,,,
size 9,231.7109375,251.7109375,20.0,8,,,,,,,,,,,,
size 1,261.67578125,271.58984375,9.9140625,7,,,,,,,,,,,,
size 3,171.8046875,171.8046875,0.0,9,,,,,,,,,,,,
size 5,181.6796875,181.6796875,0.0,8,,,,,,,,,,,,
size 7,181.6796875,181.6796875,0.0,10,,,,,,,,,,,,
size 9,181.6796875,181.6796875,0.0,10,,,,,,,,,,,,
size 1,181.734375,181.734375,0.0,10,,,,,,,,,,,,
size 3,181.953125,191.8046875,9.8515625,9,,,,,,,,,,,,
size 5,172.015625,201.890625,29.875,8,,,,,,,,,,,,
size 7,172.015625,172.015625,0.0,11,,,,,,,,,,,,
size 9,181.76171875,181.921875,0.16015625,12,,,,,,,,,,,,
size 1,182.0,182.0,0.0,7,,,,,,,,,,,,
size 3,182.07421875,182.07421875,0.0,9,,,,,,,,,,,,
size 5,182.09375,192.18359375,10.08984375,9,,,,,,,,,,,,
size 7,172.41015625,202.28515625,29.875,10,,,,,,,,,,,,
size 9,182.4375,182.4375,0.0,8,,,,,,,,,,,,
size 1,182.4375,182.4375,0.0,8,,,,,,,,,,,,
size 3,182.47265625,192.28515625,9.8125,8,,,,,,,,,,,,
size 5,182.53125,202.40625,19.875,9,,,,,,,,,,,,
size 7,212.328125,212.50390625,0.17578125,9,,,,,,,,,,,,
size 9,252.58984375,252.62890625,0.0390625,10,,,,,,,,,,,,
size 1,252.84765625,252.84765625,0.0,9,,,,,,,,,,,,
size 3,252.84765625,252.84765625,0.0,9,,,,,,,,,,,,
size 5,252.84765625,252.84765625,0.0,9,,,,,,,,,,,,
size 7,252.90234375,252.90234375,0.0,8,,,,,,,,,,,,
size 9,253.0234375,253.046875,0.0234375,10,,,,,,,,,,,,
size 1,243.1171875,243.1171875,0.0,9,,,,,,,,,,,,
size 3,253.05859375,253.05859375,0.0,9,,,,,,,,,,,,
size 5,173.2890625,173.2890625,0.0,11,,,,,,,,,,,,
size 7,183.1640625,183.1640625,0.0,9,,,,,,,,,,,,
size 9,193.1640625,193.1640625,0.0,12,,,,,,,,,,,,
size 1,203.3359375,223.2109375,19.875,8,,,,,,,,,,,,
size 3,203.39453125,243.26953125,39.875,8,,,,,,,,,,,,
size 5,223.4765625,243.4765625,20.0,8,,,,,,,,,,,,
size 7,243.5546875,253.4296875,9.875,9,,,,,,,,,,,,
size 9,173.5546875,173.5546875,0.0,10,,,,,,,,,,,,
size 1,173.5546875,173.5546875,0.0,9,,,,,,,,,,,,
size 3,173.5546875,173.55859375,0.00390625,7,,,,,,,,,,,,
size 5,183.44140625,183.5390625,0.09765625,9,,,,,,,,,,,,
size 7,183.6328125,193.546875,9.9140625,8,,,,,,,,,,,,
size 9,193.87890625,233.80078125,39.921875,9,,,,,,,,,,,,
size 1,183.9765625,183.9765625,0.0,8,,,,,,,,,,,,
size 3,183.9765625,183.9765625,0.0,8,,,,,,,,,,,,
size 5,183.9765625,183.9765625,0.0,8,,,,,,,,,,,,
size 7,183.9765625,183.9765625,0.0,9,,,,,,,,,,,,
size 9,203.94140625,203.953125,0.01171875,9,,,,,,,,,,,,
size 1,214.0234375,214.0234375,0.0,9,,,,,,,,,,,,
size 3,214.09765625,214.09765625,0.0,10,,,,,,,,,,,,
size 5,174.23046875,174.23046875,0.0,11,,,,,,,,,,,,
size 7,184.125,184.125,0.0,10,,,,,,,,,,,,
size 9,184.203125,184.2109375,0.0078125,10,,,,,,,,,,,,
size 1,214.4375,224.3125,9.875,8,,,,,,,,,,,,
size 3,194.50390625,204.3359375,9.83203125,10,,,,,,,,,,,,
size 5,194.6328125,234.6328125,40.0,10,,,,,,,,,,,,
size 7,174.6953125,174.6953125,0.0,8,,,,,,,,,,,,
size 9,174.69140625,174.69140625,0.0,10,,,,,,,,,,,,
size 1,194.49609375,204.53125,10.03515625,11,,,,,,,,,,,,
size 3,184.57421875,194.57421875,10.0,13,,,,,,,,,,,,
size 5,214.6640625,214.6796875,0.015625,10,,,,,,,,,,,,
size 7,234.91796875,244.80078125,9.8828125,10,,,,,,,,,,,,
size 9,175.0859375,275.0859375,100.0,12,,,,,,,,,,,,
size 1,175.0859375,175.0859375,0.0,9,,,,,,,,,,,,
size 3,175.0859375,204.9609375,29.875,10,,,,,,,,,,,,
size 5,175.0859375,175.0859375,0.0,9,,,,,,,,,,,,
size 7,185.0390625,195.0390625,10.0,9,,,,,,,,,,,,
size 9,205.140625,205.15234375,0.01171875,10,,,,,,,,,,,,
size 1,205.2265625,205.2265625,0.0,8,,,,,,,,,,,,
size 3,205.296875,205.296875,0.0,8,,,,,,,,,,,,
size 5,185.421875,185.421875,0.0,9,,,,,,,,,,,,
size 7,185.421875,185.421875,0.0,9,,,,,,,,,,,,
size 9,185.45703125,185.45703125,0.0,10,,,,,,,,,,,,
size 1,185.53515625,185.53515625,0.0,8,,,,,,,,,,,,
size 3,185.609375,185.609375,0.0,11,,,,,,,,,,,,
size 5,205.5078125,205.578125,0.0703125,8,,,,,,,,,,,,
size 7,175.69140625,185.56640625,9.875,9,,,,,,,,,,,,
size 9,195.56640625,195.6171875,0.05078125,11,,,,,,,,,,,,
size 1,195.62890625,195.62890625,0.0,9,,,,,,,,,,,,
size 3,195.72265625,205.71484375,9.9921875,9,,,,,,,,,,,,
size 5,195.9375,215.8125,19.875,10,,,,,,,,,,,,
size 7,205.78515625,205.87890625,0.09375,13,,,,,,,,,,,,
size 9,176.03515625,176.03515625,0.0,11,,,,,,,,,,,,
size 1,185.79296875,185.91015625,0.1171875,8,,,,,,,,,,,,
size 3,185.91015625,185.91015625,0.0,8,,,,,,,,,,,,
size 5,186.11328125,186.11328125,0.0,9,,,,,,,,,,,,
size 7,186.1796875,206.0546875,19.875,10,,,,,,,,,,,,
