case,DAC-MACS,RD-DABE,RW-ABE,TAAC
6,,63.5,,
7,,66.8,,
8,,64.1,,
9,,58.4,,
10,,82.3,,
1,,,62.4,
2,,,56.2,
3,,,64.9,
4,,,73.3,
5,,,63.9,
6,,,71.7,
7,,,65.0,
8,,,78.6,
9,,,72.1,
10,,,71.8,
1,,,,47.1
2,,,,53.3
3,,,,61.9
4,,,,62.5
5,,,,60.3
6,,,,64.6
7,,,,66.3
8,,,,64.4
9,,,,75.4
10,,,,81.0
1,71.5,,,
2,61.2,,,
3,72.9,,,
4,63.8,,,
5,59.0,,,
6,65.5,,,
7,75.0,,,
8,76.2,,,
9,76.1,,,
10,77.2,,,
1,,55.5,,
2,,55.6,,
3,,61.3,,
4,,68.2,,
5,,55.8,,
6,,54.8,,
7,,56.3,,
8,,64.5,,
9,,50.2,,
10,,74.8,,
1,,,58.6,
2,,,62.0,
3,,,80.5,
4,,,68.1,
5,,,73.5,
6,,,76.7,
7,,,65.9,
8,,,67.6,
9,,,66.3,
10,,,75.4,
1,,,,63.3
2,,,,62.7
3,,,,57.9
4,,,,65.8
5,,,,62.9
6,,,,65.6
7,,,,65.7
8,,,,83.6
9,,,,62.3
10,,,,65.2
1,59.3,,,
2,67.1,,,
3,69.7,,,
4,82.9,,,
5,71.9,,,
6,74.0,,,
7,60.6,,,
8,66.8,,,
9,74.8,,,
10,72.4,,,
1,,45.9,,
2,,79.0,,
3,,59.0,,
4,,52.6,,
5,,49.1,,
6,,45.1,,
7,,53.2,,
8,,58.9,,
9,,66.0,,
10,,45.4,,
1,,,57.2,
2,,,64.7,
3,,,71.6,
4,,,73.2,
5,,,68.9,
6,,,65.4,
7,,,65.3,
8,,,70.6,
9,,,71.6,
10,,,71.5,
1,,,,39.0
2,,,,43.1
3,,,,75.9
4,,,,62.0
5,,,,66.6
6,,,,61.4
7,,,,70.0
8,,,,64.5
9,,,,74.3
10,,,,67.6
1,65.9,,,
2,68.0,,,
3,79.5,,,
4,78.4,,,
5,68.3,,,
6,81.5,,,
7,63.2,,,
8,65.9,,,
9,70.2,,,
10,71.5,,,
1,,67.4,,
2,,56.2,,
3,,74.9,,
4,,47.5,,
5,,51.9,,
6,,54.9,,
7,,80.2,,
8,,66.8,,
9,,71.1,,
10,,64.1,,
1,,,62.8,
2,,,65.7,
3,,,72.0,
4,,,64.2,
5,,,67.3,
6,,,68.9,
7,,,80.0,
8,,,72.2,
9,,,75.1,
10,,,71.9,
1,,,,68.0
2,,,,67.3
3,,,,64.6
4,,,,60.8
5,,,,63.1
6,,,,57.9
7,,,,71.9
8,,,,65.9
9,,,,77.4
10,,,,77.5
1,65.3,,,
2,52.1,,,
3,53.8,,,
4,54.5,,,
5,57.1,,,
6,67.5,,,
7,66.8,,,
8,65.1,,,
9,62.8,,,
10,76.5,,,
1,,66.9,,
2,,37.3,,
3,,62.8,,
4,,67.5,,
5,,53.3,,
6,,52.1,,
7,,58.5,,
8,,63.7,,
9,,49.2,,
10,,54.6,,
1,,,58.7,
2,,,63.5,
3,,,76.5,
4,,,76.5,
5,,,68.0,
6,,,74.8,
7,,,68.1,
8,,,71.3,
9,,,71.5,
10,,,76.1,
1,,,,64.2
2,,,,66.1
3,,,,64.5
4,,,,70.3
5,,,,63.6
6,,,,76.8
7,,,,69.6
8,,,,77.6
9,,,,69.5
10,,,,69.5
1,41.7,,,
2,49.7,,,
3,50.4,,,
4,66.5,,,
5,63.4,,,
6,58.8,,,
7,57.3,,,
8,65.0,,,
9,74.6,,,
10,72.9,,,
1,,82.9,,
2,,72.6,,
3,,58.5,,
4,,60.1,,
5,,58.3,,
6,,64.1,,
7,,58.7,,
8,,60.7,,
9,,69.7,,
10,,56.5,,
1,,,57.0,
2,,,66.5,
3,,,84.3,
4,,,65.5,
5,,,74.2,
6,,,69.3,
7,,,67.9,
8,,,66.0,
9,,,68.5,
10,,,80.1,
1,,,,53.8
2,,,,71.7
3,,,,52.5
4,,,,52.4
5,,,,60.9
6,,,,58.5
7,,,,65.7
8,,,,65.7
9,,,,71.3
10,,,,70.9
1,67.2,,,
2,54.3,,,
3,62.4,,,
4,56.1,,,
5,68.2,,,
6,65.2,,,
7,83.4,,,
8,68.7,,,
9,82.3,,,
10,76.9,,,
1,,58.0,,
2,,58.0,,
3,,64.5,,
4,,50.2,,
5,,63.9,,
6,,62.7,,
7,,58.7,,
8,,61.0,,
9,,73.9,,
10,,74.9,,
1,,,67.1,
2,,,51.9,
3,,,65.4,
4,,,72.4,
5,,,66.4,
6,,,69.3,
7,,,68.9,
8,,,70.9,
9,,,71.5,
10,,,71.1,
1,,,,48.4
2,,,,55.6
3,,,,49.7
4,,,,66.3
5,,,,67.9
6,,,,65.0
7,,,,72.2
8,,,,62.8
9,,,,64.7
10,,,,66.8
1,58.4,,,
2,52.2,,,
3,53.0,,,
4,56.8,,,
5,63.6,,,
6,69.0,,,
7,70.9,,,
8,45.4,,,
9,67.2,,,
10,68.6,,,
1,,58.0,,
2,,58.3,,
3,,69.9,,
4,,86.0,,
5,,72.4,,
6,,60.8,,
7,,73.8,,
8,,46.2,,
9,,52.1,,
10,,71.2,,
1,,,49.1,
2,,,57.5,
3,,,60.7,
4,,,76.8,
5,,,58.9,
6,,,84.3,
7,,,78.5,
8,,,75.9,
9,,,78.6,
10,,,75.5,
1,,,,58.7
2,,,,56.0
3,,,,73.3
4,,,,64.0
5,,,,66.1
6,,,,70.1
7,,,,68.3
8,,,,70.3
9,,,,69.8
10,,,,73.2
1,76.6,,,
2,72.0,,,
3,71.4,,,
4,58.9,,,
5,62.8,,,
6,66.9,,,
7,78.3,,,
8,77.4,,,
9,76.2,,,
10,72.7,,,
1,,53.9,,
2,,68.9,,
3,,50.9,,
4,,61.8,,
5,,53.6,,
6,,55.2,,
7,,68.5,,
8,,77.9,,
9,,57.0,,
10,,62.4,,
1,,,52.0,
2,,,61.4,
3,,,62.8,
4,,,74.0,
5,,,70.5,
6,,,64.6,
7,,,66.9,
8,,,67.0,
9,,,68.8,
10,,,74.9,
1,,,,49.2
2,,,,58.9
3,,,,62.9
4,,,,60.3
5,,,,70.5
6,,,,68.8
7,,,,59.0
8,,,,66.2
9,,,,72.6
10,,,,72.7
1,69.1,,,
2,68.1,,,
3,75.1,,,
4,60.5,,,
5,61.9,,,
6,67.2,,,
7,74.4,,,
8,72.4,,,
9,79.0,,,
10,81.1,,,
1,,55.1,,
2,,55.7,,
3,,51.2,,
4,,63.5,,
5,,78.8,,
6,,65.7,,
7,,65.1,,
8,,67.9,,
9,,50.5,,
10,,83.1,,
1,,,72.4,
2,,,55.0,
3,,,60.6,
4,,,61.6,
5,,,67.6,
6,,,63.6,
7,,,70.9,
8,,,70.2,
9,,,69.9,
10,,,72.4,
1,,,,49.1
2,,,,59.2
3,,,,69.5
4,,,,67.9
5,,,,68.5
6,,,,76.3
7,,,,61.1
8,,,,72.2
9,,,,75.0
10,,,,75.5
1,50.3,,,
2,63.9,,,
3,63.6,,,
4,66.7,,,
5,62.4,,,
6,61.5,,,
7,62.7,,,
8,73.3,,,
9,69.0,,,
10,69.3,,,
1,,48.8,,
2,,68.7,,
3,,55.1,,
4,,74.5,,
5,,81.1,,
6,,55.5,,
7,,48.5,,
8,,72.1,,
9,,56.6,,
10,,68.1,,
1,,,55.2,
2,,,52.7,
3,,,52.1,
4,,,62.8,
5,,,66.6,
6,,,77.2,
7,,,75.7,
8,,,71.8,
9,,,75.5,
10,,,77.0,
1,,,,59.1
2,,,,55.5
3,,,,64.0
4,,,,70.5
5,,,,77.3
6,,,,71.6
7,,,,74.8
8,,,,83.1
9,,,,69.3
10,,,,75.7
1,60.7,,,
2,56.4,,,
3,76.3,,,
4,54.5,,,
5,55.1,,,
6,60.7,,,
7,68.7,,,
8,80.1,,,
9,71.7,,,
10,73.7,,,
1,,70.9,,
2,,48.8,,
3,,71.2,,
4,,63.0,,
5,,58.9,,
6,,38.4,,
7,,55.5,,
8,,48.8,,
9,,78.4,,
10,,57.5,,
1,,,67.1,
2,,,65.7,
3,,,56.9,
4,,,62.0,
5,,,76.7,
6,,,76.5,
7,,,70.6,
8,,,71.0,
9,,,78.9,
10,,,74.3,
1,,,,48.4
2,,,,50.1
3,,,,73.3
4,,,,71.1
5,,,,60.4
6,,,,69.3
7,,,,63.6
8,,,,80.6
9,,,,71.4
10,,,,66.1
1,60.8,,,
2,74.5,,,
3,56.7,,,
4,67.7,,,
5,67.7,,,
6,62.1,,,
7,71.3,,,
8,71.3,,,
9,65.3,,,
10,72.0,,,
1,,58.6,,
2,,73.2,,
3,,55.5,,
4,,46.6,,
5,,67.0,,
6,,81.2,,
7,,68.6,,
8,,44.4,,
9,,68.8,,
10,,64.3,,
1,,,58.9,
2,,,60.1,
3,,,79.8,
4,,,67.3,
5,,,63.8,
6,,,78.2,
7,,,72.6,
8,,,68.7,
9,,,74.8,
10,,,71.5,
1,,,,51.3
2,,,,57.1
3,,,,56.4
4,,,,61.9
5,,,,70.9
6,,,,74.4
7,,,,57.5
8,,,,70.7
9,,,,65.3
10,,,,73.2
1,45.1,,,
2,72.7,,,
3,60.5,,,
4,56.8,,,
5,68.5,,,
6,73.8,,,
7,68.3,,,
8,73.2,,,
9,73.0,,,
10,78.3,,,
1,,72.4,,
2,,58.1,,
3,,42.2,,
4,,74.4,,
5,,58.9,,
6,,64.0,,
7,,59.0,,
8,,71.3,,
9,,60.8,,
10,,52.2,,
1,,,54.9,
2,,,69.7,
3,,,84.5,
4,,,70.2,
5,,,74.3,
6,,,72.0,
7,,,66.9,
8,,,78.9,
9,,,68.2,
10,,,73.0,
1,,,,62.1
2,,,,70.9
3,,,,52.6
4,,,,77.6
5,,,,76.2
6,,,,72.7
7,,,,65.4
8,,,,66.8
9,,,,71.8
10,,,,76.7
1,61.2,,,
2,76.1,,,
3,61.0,,,
4,70.3,,,
5,70.9,,,
6,82.5,,,
7,76.3,,,
8,64.8,,,
9,80.1,,,
10,54.1,,,
1,,41.6,,
2,,45.6,,
3,,64.0,,
4,,72.9,,
5,,78.5,,
6,,68.9,,
7,,50.4,,
8,,54.9,,
9,,82.3,,
10,,61.3,,
1,,,53.0,
2,,,75.1,
3,,,78.3,
4,,,72.0,
5,,,72.9,
6,,,75.0,
7,,,72.1,
8,,,70.6,
9,,,68.0,
10,,,74.9,
1,,,,71.5
2,,,,71.6
3,,,,64.7
4,,,,69.1
5,,,,66.2
6,,,,71.7
7,,,,69.4
8,,,,74.1
9,,,,78.8
10,,,,73.9
1,66.9,,,
2,54.1,,,
3,71.1,,,
4,73.9,,,
5,70.7,,,
6,72.1,,,
7,62.4,,,
8,73.6,,,
9,61.5,,,
10,78.7,,,
1,,65.9,,
2,,63.7,,
3,,50.0,,
4,,58.6,,
5,,76.5,,
6,,56.0,,
7,,68.8,,
8,,50.3,,
9,,67.5,,
10,,64.0,,
1,,,61.3,
2,,,60.9,
3,,,62.7,
4,,,71.3,
5,,,69.7,
6,,,63.7,
7,,,71.4,
8,,,74.5,
9,,,70.9,
10,,,70.4,
1,,,,48.4
2,,,,67.0
3,,,,65.4
4,,,,66.4
5,,,,70.8
6,,,,71.9
7,,,,74.1
8,,,,66.6
9,,,,70.1
10,,,,72.2
1,50.7,,,
2,65.1,,,
3,54.6,,,
4,68.5,,,
5,67.2,,,
6,69.6,,,
7,65.4,,,
8,53.3,,,
9,67.3,,,
10,79.3,,,
1,,58.6,,
2,,78.3,,
3,,46.9,,
4,,56.1,,
5,,42.5,,
6,,66.5,,
7,,64.4,,
8,,78.4,,
9,,54.4,,
10,,78.0,,
1,,,57.0,
2,,,70.7,
3,,,66.9,
4,,,73.3,
5,,,70.5,
6,,,71.0,
7,,,68.9,
8,,,82.7,
9,,,75.9,
10,,,75.2,
1,,,,62.0
2,,,,56.0
3,,,,69.0
4,,,,66.2
5,,,,69.9
6,,,,66.7
7,,,,62.0
8,,,,82.1
9,,,,73.2
10,,,,82.1
1,62.6,,,
2,53.0,,,
3,66.2,,,
4,57.3,,,
5,64.7,,,
6,64.9,,,
7,76.0,,,
8,62.6,,,
9,74.3,,,
10,73.3,,,
1,,55.7,,
2,,58.8,,
3,,63.5,,
4,,55.0,,
5,,69.4,,
6,,45.7,,
7,,73.5,,
8,,61.5,,
9,,58.2,,
10,,65.9,,
1,,,54.2,
2,,,69.2,
3,,,68.1,
4,,,60.3,
5,,,72.2,
6,,,64.1,
7,,,69.4,
8,,,68.5,
9,,,81.1,
10,,,76.1,
1,,,,60.7
2,,,,55.1
3,,,,68.8
4,,,,57.3
5,,,,64.1
6,,,,63.0
7,,,,63.7
8,,,,73.6
9,,,,68.7
10,,,,81.9
1,53.3,,,
2,56.9,,,
3,79.9,,,
4,73.7,,,
5,68.4,,,
6,84.9,,,
7,75.5,,,
8,67.3,,,
9,71.3,,,
10,63.4,,,
1,,52.1,,
2,,52.2,,
3,,62.7,,
4,,78.3,,
5,,51.9,,
6,,74.1,,
7,,53.8,,
8,,58.6,,
9,,65.0,,
10,,50.3,,
1,,,61.3,
2,,,46.1,
3,,,66.0,
4,,,69.1,
5,,,69.8,
6,,,68.9,
7,,,74.4,
8,,,76.4,
9,,,72.1,
10,,,73.0,
1,,,,55.1
2,,,,52.3
3,,,,65.6
4,,,,61.7
5,,,,66.7
6,,,,64.4
7,,,,64.7
8,,,,68.0
9,,,,73.6
10,,,,74.0
1,56.5,,,
2,58.9,,,
3,73.7,,,
4,68.6,,,
5,49.6,,,
6,73.8,,,
7,60.2,,,
8,64.6,,,
9,68.6,,,
10,69.3,,,
1,,61.6,,
2,,54.8,,
3,,45.6,,
4,,61.7,,
5,,61.4,,
6,,66.4,,
7,,58.6,,
8,,65.0,,
9,,63.9,,
10,,66.1,,
1,,,58.4,
2,,,65.7,
3,,,68.1,
4,,,60.6,
5,,,69.6,
6,,,78.5,
7,,,70.1,
8,,,71.9,
9,,,74.6,
10,,,71.4,
1,,,,69.7
2,,,,50.3
3,,,,66.6
4,,,,59.8
5,,,,70.3
6,,,,70.6
7,,,,70.6
8,,,,74.4
9,,,,75.1
10,,,,78.8
1,57.5,,,
2,58.7,,,
3,64.2,,,
4,65.6,,,
5,75.6,,,
6,60.4,,,
7,75.6,,,
8,76.0,,,
9,64.7,,,
10,67.8,,,
1,,71.2,,
2,,45.6,,
3,,57.3,,
4,,61.2,,
5,,45.8,,
6,,71.0,,
7,,53.9,,
8,,64.3,,
9,,66.7,,
10,,65.2,,
1,,,67.2,
2,,,67.0,
3,,,70.2,
4,,,78.6,
5,,,88.5,
6,,,71.2,
7,,,72.0,
8,,,77.2,
9,,,73.2,
10,,,71.1,
1,,,,51.7
2,,,,41.8
3,,,,66.5
4,,,,73.4
5,,,,70.1
6,,,,62.4
7,,,,61.4
8,,,,69.8
9,,,,76.7
10,,,,78.5
1,72.5,,,
2,53.4,,,
3,64.7,,,
4,65.1,,,
5,60.2,,,
6,74.7,,,
7,68.2,,,
8,69.9,,,
9,66.7,,,
10,64.8,,,
1,,43.2,,
2,,46.3,,
3,,55.5,,
4,,55.3,,
5,,57.4,,
6,,67.5,,
7,,51.9,,
8,,59.0,,
9,,55.9,,
10,,63.3,,
1,,,47.5,
2,,,54.9,
3,,,78.1,
4,,,66.2,
5,,,62.4,
6,,,67.8,
7,,,64.2,
8,,,70.1,
9,,,75.3,
10,,,77.0,
1,,,,54.6
2,,,,60.3
3,,,,63.8
4,,,,63.4
5,,,,58.1
6,,,,68.3
7,,,,57.6
8,,,,63.7
9,,,,63.4
10,,,,70.1
1,58.4,,,
2,68.7,,,
3,65.3,,,
4,64.4,,,
5,59.8,,,
6,68.8,,,
7,69.1,,,
8,70.6,,,
9,83.0,,,
10,74.4,,,
1,,64.1,,
2,,61.3,,
3,,71.0,,
4,,73.8,,
5,,78.7,,
6,,58.9,,
7,,58.9,,
8,,68.8,,
9,,65.9,,
10,,51.8,,
1,,,46.4,
2,,,66.9,
3,,,59.0,
4,,,59.1,
5,,,71.6,
6,,,72.1,
7,,,72.6,
8,,,73.2,
9,,,69.7,
10,,,70.5,
1,,,,67.7
2,,,,54.2
3,,,,58.7
4,,,,76.2
5,,,,58.8
6,,,,59.1
7,,,,58.4
8,,,,72.5
9,,,,75.0
10,,,,67.1
1,47.9,,,
2,54.8,,,
3,71.0,,,
4,60.9,,,
5,71.0,,,
6,56.9,,,
7,71.5,,,
8,67.9,,,
9,85.5,,,
10,77.0,,,
1,,68.4,,
2,,51.0,,
3,,81.7,,
4,,53.5,,
5,,45.7,,
6,,49.8,,
7,,52.3,,
8,,67.0,,
9,,66.4,,
10,,63.7,,
1,,,64.7,
2,,,70.7,
3,,,66.8,
4,,,69.7,
5,,,63.1,
6,,,66.8,
7,,,74.5,
8,,,74.9,
9,,,77.1,
10,,,71.7,
1,,,,53.2
2,,,,79.4
3,,,,67.7
4,,,,63.0
5,,,,69.6
6,,,,67.0
7,,,,84.1
8,,,,80.5
9,,,,75.7
10,,,,78.4
1,69.6,,,
2,62.1,,,
3,53.1,,,
4,59.8,,,
5,60.5,,,
6,75.8,,,
7,67.0,,,
8,74.0,,,
9,77.3,,,
10,71.0,,,
1,,59.0,,
2,,64.2,,
3,,63.0,,
4,,48.7,,
5,,58.8,,
6,,63.1,,
7,,58.4,,
8,,58.7,,
9,,45.8,,
10,,48.9,,
1,,,50.3,
2,,,50.9,
3,,,59.1,
4,,,65.6,
5,,,70.5,
6,,,66.1,
7,,,69.6,
8,,,78.6,
9,,,75.3,
10,,,78.4,
1,,,,68.2
2,,,,58.4
3,,,,61.2
4,,,,68.3
5,,,,67.5
6,,,,79.5
7,,,,70.3
8,,,,78.3
9,,,,83.4
10,,,,76.8
1,56.5,,,
2,67.3,,,
3,59.0,,,
4,59.2,,,
5,66.5,,,
6,66.7,,,
7,60.5,,,
8,81.5,,,
9,75.9,,,
10,68.8,,,
1,,62.4,,
2,,84.0,,
3,,58.9,,
4,,54.9,,
5,,54.5,,
6,,84.1,,
7,,70.4,,
8,,64.0,,
9,,69.3,,
10,,60.6,,
1,,,58.7,
2,,,56.9,
3,,,62.2,
4,,,70.4,
5,,,67.6,
6,,,78.0,
7,,,76.9,
8,,,75.5,
9,,,73.2,
10,,,80.3,
1,,,,62.7
2,,,,63.1
3,,,,52.7
4,,,,78.6
5,,,,69.1
6,,,,63.8
7,,,,71.5
8,,,,62.2
9,,,,55.0
10,,,,77.5
1,58.6,,,
2,62.8,,,
3,74.1,,,
4,64.8,,,
5,62.0,,,
6,69.3,,,
7,71.3,,,
8,72.4,,,
9,77.5,,,
10,73.9,,,
1,,65.6,,
2,,63.2,,
3,,64.6,,
4,,45.2,,
5,,74.9,,
6,,58.7,,
7,,42.4,,
8,,57.8,,
9,,71.1,,
10,,58.3,,
1,,,56.9,
2,,,73.1,
3,,,68.0,
4,,,61.7,
5,,,70.6,
6,,,68.7,
7,,,67.1,
8,,,68.7,
9,,,72.1,
10,,,77.1,
1,,,,63.7
2,,,,63.7
3,,,,54.0
4,,,,65.2
5,,,,76.3
6,,,,67.2
7,,,,71.5
8,,,,72.3
9,,,,68.3
10,,,,77.7
1,58.2,,,
2,69.1,,,
3,67.2,,,
4,79.7,,,
5,64.7,,,
6,62.3,,,
7,65.8,,,
8,63.7,,,
9,69.0,,,
10,74.4,,,
1,,55.9,,
2,,75.2,,
3,,60.9,,
4,,55.2,,
5,,69.7,,
6,,57.5,,
7,,52.1,,
8,,73.0,,
9,,54.8,,
10,,77.7,,
1,,,64.3,
2,,,72.7,
3,,,58.7,
4,,,69.4,
5,,,66.2,
6,,,69.8,
7,,,72.7,
8,,,79.3,
9,,,68.0,
10,,,73.7,
1,,,,57.3
2,,,,48.5
3,,,,64.6
4,,,,62.0
5,,,,58.8
6,,,,66.5
7,,,,65.5
8,,,,66.3
9,,,,51.4
10,,,,73.5
1,72.1,,,
2,46.9,,,
3,84.2,,,
4,73.7,,,
5,74.8,,,
6,63.9,,,
7,69.6,,,
8,68.4,,,
9,83.3,,,
10,70.3,,,
1,,71.9,,
2,,74.4,,
3,,58.7,,
4,,58.5,,
5,,64.7,,
6,,61.2,,
7,,78.1,,
8,,78.5,,
9,,71.6,,
10,,57.5,,
1,,,66.9,
2,,,59.9,
3,,,67.0,
4,,,55.4,
5,,,69.7,
6,,,73.9,
7,,,68.9,
8,,,67.3,
9,,,76.0,
10,,,77.0,
1,,,,53.9
2,,,,62.7
3,,,,56.0
4,,,,67.2
5,,,,57.6
6,,,,64.5
7,,,,66.4
8,,,,63.9
9,,,,71.9
10,,,,69.0
1,70.4,,,
2,63.6,,,
3,56.9,,,
4,65.3,,,
5,54.6,,,
6,70.4,,,
7,61.5,,,
8,74.5,,,
9,70.5,,,
10,73.0,,,
1,,60.7,,
2,,61.1,,
3,,59.1,,
4,,61.9,,
5,,58.3,,
6,,55.0,,
7,,62.9,,
8,,62.0,,
9,,50.2,,
10,,51.1,,
1,,,78.9,
2,,,65.9,
3,,,65.2,
4,,,64.1,
5,,,66.0,
6,,,77.1,
7,,,65.3,
8,,,77.6,
9,,,72.1,
10,,,70.2,
1,,,,59.1
2,,,,69.1
3,,,,68.8
4,,,,78.7
5,,,,68.3
6,,,,76.3
7,,,,78.8
8,,,,71.4
9,,,,78.6
10,,,,74.5
1,59.2,,,
2,51.1,,,
3,60.7,,,
4,75.4,,,
5,65.0,,,
6,64.2,,,
7,67.0,,,
8,67.3,,,
9,76.9,,,
10,66.6,,,
1,,65.8,,
2,,58.8,,
3,,58.5,,
4,,54.5,,
5,,74.7,,
6,,67.1,,
7,,58.7,,
8,,50.2,,
9,,45.6,,
10,,61.6,,
1,,,49.0,
2,,,69.1,
3,,,69.1,
4,,,60.8,
5,,,67.6,
6,,,67.9,
7,,,71.4,
8,,,68.6,
9,,,75.5,
10,,,66.9,
1,,,,48.3
2,,,,61.8
3,,,,61.0
4,,,,67.2
5,,,,63.2
6,,,,61.8
7,,,,70.5
8,,,,75.4
9,,,,77.6
10,,,,79.3
1,69.8,,,
2,48.2,,,
3,62.7,,,
4,43.6,,,
5,71.4,,,
6,69.0,,,
7,58.9,,,
8,74.1,,,
9,65.1,,,
10,67.2,,,
1,,58.5,,
2,,62.4,,
3,,76.4,,
4,,56.3,,
5,,48.9,,
6,,61.2,,
7,,81.1,,
8,,53.4,,
9,,57.2,,
10,,73.6,,
1,,,59.0,
2,,,57.8,
3,,,71.8,
4,,,73.5,
5,,,69.2,
6,,,65.6,
7,,,74.6,
8,,,68.8,
9,,,68.3,
10,,,73.8,
1,,,,51.4
2,,,,65.0
3,,,,54.3
4,,,,60.6
5,,,,57.4
6,,,,62.6
7,,,,62.6
8,,,,72.9
9,,,,70.1
10,,,,70.8
1,50.3,,,
2,63.1,,,
3,71.8,,,
4,59.0,,,
5,61.7,,,
6,71.6,,,
7,79.3,,,
8,75.5,,,
9,71.0,,,
10,74.1,,,
1,,59.0,,
2,,58.9,,
3,,64.0,,
4,,61.3,,
5,,61.1,,
6,,73.3,,
7,,52.4,,
8,,77.7,,
9,,58.9,,
10,,55.9,,
1,,,52.5,
2,,,62.2,
3,,,60.6,
4,,,72.6,
5,,,67.8,
6,,,70.6,
7,,,71.0,
8,,,72.5,
9,,,73.3,
10,,,76.0,
1,,,,54.0
2,,,,66.2
3,,,,64.5
4,,,,64.0
5,,,,68.9
6,,,,61.6
7,,,,71.7
8,,,,67.9
9,,,,72.5
10,,,,72.9
1,60.3,,,
2,70.9,,,
3,68.4,,,
4,74.3,,,
5,73.7,,,
6,74.9,,,
7,73.4,,,
8,71.7,,,
9,65.8,,,
10,68.8,,,
1,,70.2,,
2,,54.9,,
3,,48.4,,
4,,46.0,,
5,,66.7,,
6,,55.3,,
7,,76.1,,
8,,63.4,,
9,,52.5,,
10,,60.8,,
1,,,72.7,
2,,,72.8,
3,,,68.8,
4,,,60.0,
5,,,64.1,
6,,,64.8,
7,,,65.8,
8,,,69.2,
9,,,71.3,
10,,,67.3,
1,,,,55.2
2,,,,57.6
3,,,,56.2
4,,,,62.4
5,,,,74.9
6,,,,70.2
7,,,,71.4
8,,,,65.3
9,,,,72.6
10,,,,74.8
1,48.6,,,
2,59.2,,,
3,53.4,,,
4,53.0,,,
5,65.2,,,
6,68.5,,,
7,69.0,,,
8,60.0,,,
9,70.8,,,
10,77.9,,,
1,,58.9,,
2,,81.6,,
3,,57.5,,
4,,64.3,,
5,,69.9,,
6,,54.5,,
7,,53.3,,
8,,70.1,,
9,,44.2,,
10,,74.6,,
1,,,60.0,
2,,,55.7,
3,,,51.6,
4,,,59.1,
5,,,63.8,
6,,,66.5,
7,,,72.8,
8,,,72.2,
9,,,72.7,
10,,,75.7,
1,,,,64.1
2,,,,56.5
3,,,,62.9
4,,,,65.0
5,,,,64.9
6,,,,73.3
7,,,,69.4
8,,,,69.6
9,,,,80.6
10,,,,72.5
1,73.6,,,
2,72.8,,,
3,70.6,,,
4,69.0,,,
5,78.3,,,
6,74.4,,,
7,68.9,,,
8,61.0,,,
9,67.6,,,
10,69.3,,,
1,,71.7,,
2,,58.6,,
3,,58.6,,
4,,66.3,,
5,,62.7,,
6,,67.7,,
7,,58.2,,
8,,65.7,,
9,,66.0,,
10,,49.0,,
1,,,65.4,
2,,,57.4,
3,,,68.1,
4,,,67.2,
5,,,64.6,
6,,,64.8,
7,,,79.6,
8,,,75.2,
9,,,75.1,
